review_id,listing_id,date_key,sentiment_stars
1124528681458522053,4646142,2024-03-31,4.93
1120937311981278264,4887141,2024-03-26,4.59
1102718548158982248,5011026,2024-03-01,4.58
1115069203270050227,5062830,2024-03-18,4.84
1111527274004868520,5201253,2024-03-13,4.95
1104969871205372716,5255446,2024-03-04,4.93
1104273691771107690,5439441,2024-03-03,4.69
1107137774955071433,5439441,2024-03-07,4.01
1122338116486942659,5439441,2024-03-28,4.67
1112886155790169702,900141,2024-03-15,3.54
1114420908291439963,1058642,2024-03-17,2.47
1114342533475881457,282606,2024-03-17,4.74
1115077355166925260,1595157,2024-03-18,4.57
1117248792320322729,1595157,2024-03-21,4.64
1107096792547148417,690609,2024-03-07,4.89
1102716553890247622,1834106,2024-03-01,4.9
1110722559089061575,1852938,2024-03-12,4.02
1120945347437028308,1948161,2024-03-26,4.82
1107130675722037324,2080138,2024-03-07,4.66
1109984751071409133,2080138,2024-03-11,4.56
1120181801677607326,3082554,2024-03-25,4.9
1107905094352773490,3259518,2024-03-08,4.81
1104935274625057910,3277357,2024-03-04,4.81
1124499979103025437,3341621,2024-03-31,4.85
1112241606909344216,2286781,2024-03-14,4.74
1103444042154645910,3358490,2024-03-02,4.87
1103443007500751164,3969690,2024-03-02,4.11
1106390741113329567,3975291,2024-03-06,4.82
1118685236163454829,3975291,2024-03-23,4.63
1118764163770533053,4421175,2024-03-23,4.8
1120214434620005532,4135729,2024-03-25,4.36
1121640957863013867,4458181,2024-03-27,4.73
1107834537599825014,4260343,2024-03-08,4.8
1104284107618904474,4267198,2024-03-03,4.79
1103513195791883028,4507430,2024-03-02,4.77
1107117068371806957,4309526,2024-03-07,4.95
1106407264262215009,4820554,2024-03-06,4.9
1113708117615092813,4858427,2024-03-16,4.96
1109992946670769712,4890833,2024-03-11,3.21
1112169874077570259,4900705,2024-03-14,4.44
1107065244464586921,4954662,2024-03-07,4.3
1123852563463563526,5017023,2024-03-30,4.83
1120219130470943334,4761092,2024-03-25,4.39
1110791969195625941,5323318,2024-03-12,4.89
1109297491326733888,122455,2024-03-10,4.82
1110070817498195458,1075794,2024-03-11,4.05
1113698712039739829,1194568,2024-03-16,4.9
1104892079118859368,1241945,2024-03-04,4.96
1109278743212735125,563459,2024-03-10,4.88
1110797145073428955,660099,2024-03-12,3.59
1102811879994089205,1723346,2024-03-01,4.81
1119492536038632473,1724734,2024-03-24,4.6
1104226945682601985,1863057,2024-03-03,4.59
1122302280870783542,1871897,2024-03-28,4.95
1121665891291849891,2864973,2024-03-27,4.4
1109971611274628607,3014209,2024-03-11,4.87
1119400901955316466,3033914,2024-03-24,4.9
1107843814384038842,3057403,2024-03-08,4.88
1121583462348288069,2179981,2024-03-27,4.59
1110773989248490057,3265646,2024-03-12,4.67
1124537470116996298,3338147,2024-03-31,4.76
1122388663831746167,2442838,2024-03-28,4.83
1112188865779909269,3773489,2024-03-14,4.62
1124544270921668760,3789150,2024-03-31,4.77
1123073111783605662,3799507,2024-03-29,4.9
1117252426818956490,2522313,2024-03-21,4.08
1107156594750784756,4080460,2024-03-07,4.78
1112937996970929839,4435697,2024-03-15,4.86
1111461837046813765,4135729,2024-03-13,4.9
1112209488097491277,4458181,2024-03-14,4.41
1116566069453713975,4237546,2024-03-20,4.68
1118694312080348308,4553566,2024-03-23,4.6
1120928575089807885,4560984,2024-03-26,4.82
1120872250800104144,4341842,2024-03-26,4.8
1104942404585268300,4561312,2024-03-04,4.85
1112946897936402999,4827735,2024-03-15,4.86
1115069439690596225,4851293,2024-03-18,4.84
1119487342557217152,4646142,2024-03-24,4.83
1120218190190104855,4646142,2024-03-25,4.62
1116592592581483986,4933142,2024-03-20,4.48
1109259055678107658,4725948,2024-03-10,4.82
1105642941801988919,5065638,2024-03-05,4.67
1109331857075463196,5401119,2024-03-10,4.95
1103548144600861579,5269233,2024-03-02,4.93
1109280180173676486,1058642,2024-03-10,4.1
1120193334956716732,1058642,2024-03-25,4.86
1111450750094474774,282586,2024-03-13,4.54
1113701826140747483,400107,2024-03-16,3.85
1110736009639685759,1653819,2024-03-12,4.7
1106353677822568880,1666477,2024-03-06,4.76
1118698402354061416,668544,2024-03-23,4.78
1103481435775703702,731764,2024-03-02,4.53
1112963192731695359,1808811,2024-03-15,4.42
1107162743605261133,742345,2024-03-07,4.73
1124513526029470858,1904760,2024-03-31,4.83
1104185869710928526,2845124,2024-03-03,4.79
1115770982745900910,2878153,2024-03-19,4.89
1110063022058246357,2053265,2024-03-11,3.83
1111471015523035942,3161617,2024-03-13,4.81
1116523376410219055,3259518,2024-03-20,4.82
1105712404677767719,3318572,2024-03-05,4.65
1108532223763528000,2252203,2024-03-09,4.42
1111495549126883108,3358490,2024-03-13,4.87
1105640885931769836,2309049,2024-03-05,4.65
1108634540318137039,2309049,2024-03-09,4.81
1111525197646293301,2309049,2024-03-13,4.67
1122338284132908174,2309049,2024-03-28,4.96
1106437141636650410,3589058,2024-03-06,3.85
1102824432108077420,3911634,2024-03-01,4.83
1106342573486755042,3936849,2024-03-06,4.91
1124488122581430540,3936849,2024-03-31,4.95
